area_of_application,category,date_issue,date_of_analysis,description,document_type,filename,full_name,keytopics,keywords,language,median_content_length,number,pages_analyzed,percent_clause_detection,percent_missing_clauses,revision,source,status,total_pages
"градостроительные требования к проектированию набережных общественного назначения на побережьях водных объектов общего пользования - морей, рек, естественных и искусственных водоемов",Градостроительство,2022-12-30,2025-08-26T04:18:08.338072+00:00,"Настоящий свод правил устанавливает градостроительные требования к проектированию набережных общественного назначения на побережьях морей, рек, озер, прудов, каналов и водохранилищ. Документ подготовлен для повышения уровня безопасности при проектировании набережных в соответствии с федеральными законами о техническом регулировании и безопасности зданий и сооружений. Изменения к своду правил утверждены приказом Минстроя России в 2022 году.",Свод правил,СП 398.1325800.2018_Набережные. Правила градостроительного проектирования (с изменением 1).pdf,Свод правил 398.1325800.2018 Правила градостроительного проектирования. Набережные,"['градостроительные требования', 'проектирование набережных', 'водные объекты общего пользования']","['набережные', 'градостроительное проектирование', 'проектирование набережных', 'водные объекты', 'безопасность зданий и сооружений', 'техническое регулирование', 'Минстрой России']",Русский,238,398.1325800.2018,5,92.5,0.0,Изменение N 1,СП 398.1325800.2018_Набережные. Правила градостроительного проектирования (с изменением 1).pdf,Действующий,59
Проектирование и строительство наружных сетей холодного водоснабжения и водоотведения из полимерных материалов,Системы водоснабжения и канализации,2022-05-30,2025-08-26T04:18:14.113961+00:00,"Свод правил содержит требования к проектированию и строительству трубопроводов и сооружений на наружных сетях водоснабжения и водоотведения из полимерных материалов. Включает правила использования полиэтилена, блок-сополимера пропилена, непластифицированного поливинилхлорида и ориентированного непластифицированного поливинилхлорида в различных условиях прокладки, включая бестраншейные методы и сложные климатические условия.",Свод правил,СП 399.1325800.2018_Системы водоснабжения и канализации наружные из полимерных материалов (с изменением 1).pdf,Свод правил Системы водоснабжения и канализации наружные из полимерных материалов Правила проектирования и монтажа,"['трубопроводы из полимерных материалов', 'нормативные требования проектирования', 'монтаж наружных сетей водоснабжения и канализации', 'условия эксплуатации в природно-климатических зонах']","['водоснабжение', 'канализация', 'полимерные материалы', 'проектирование', 'монтаж', 'трубопроводы', 'наружные сети']",русский,248,399.1325800.2018,5,87.5,64.6,Изм.1,СП 399.1325800.2018_Системы водоснабжения и канализации наружные из полимерных материалов (с изменением 1).pdf,Действующий,180
Правила градостроительного проектирования зданий и комплексов высотных,Градостроительство,2019-03-19,2025-08-26T04:18:18.356329+00:00,"Данный свод правил устанавливает градостроительные требования и условия размещения, планировки, а также инженерного обеспечения территорий высотных зданий и комплексов. Включает противопожарные требования и организацию транспортной инфраструктуры.",Свод правил,СП 401.1325800.2018_Здания и комплексы высотные. Правила градостроительного проектирования.pdf,Свод правил СП 401.1325800.2018 Здания и комплексы высотные. Правила градостроительного проектирования,"['градостроительные условия', 'противопожарные требования', 'транспортная инфраструктура', 'инженерное обеспечение']","['градостроительное проектирование', 'высотные здания', 'комплексы', 'противопожарные требования', 'транспортная инфраструктура', 'водоснабжение']",Русский,201,401.1325800.2018,5,97.1,1.2,Введен впервые,СП 401.1325800.2018_Здания и комплексы высотные. Правила градостроительного проектирования.pdf,Действующий,24
Проектирование систем газопотребления (внутренних сетей газопотребления) жилых зданий с использованием природного газа,Газопотребление,2022-12-19,2025-08-26T04:18:23.446202+00:00,"Настоящий свод правил устанавливает правила проектирования систем газопотребления внутренних сетей газопотребления одноквартирных и блокированных жилых домов, а также многоквартирных жилых зданий, где используется природный газ. Документ включает обновления, утвержденные в декабре 2022 года и учитывает требования ряда федеральных законов по градостроительству, безопасности и энергосбережению.",Свод правил,СП 402.1325800.2018_Здания жилые. Правила проектирования систем газопотребления (с изменением 1).pdf,Свод правил Здания жилые Правила проектирования систем газопотребления,"['нормативные документы', 'проекты газовых систем', 'безопасность газопотребления', 'требования к газопроводам']","['свод правил', 'здания жилые', 'системы газопотребления', 'проектирование', 'природный газ']",Русский,302,402.1325800.2018,5,94.3,1.2,Изменение N 1,СП 402.1325800.2018_Здания жилые. Правила проектирования систем газопотребления (с изменением 1).pdf,Действующий,49
Проектирование новых и реконструкция существующих решений по комплексному благоустройству территорий производственного назначения,Благоустройство территорий,2022-05-30,2025-08-26T04:18:26.876040+00:00,"Настоящий свод правил распространяется на проектирование благоустройства территорий производственного назначения, устанавливая требования к архитектурно-планировочным и ландшафтным решениям для создания безопасной производственной среды. Документ разработан с учетом соответствующих федеральных законов и нормативных документов, введен в действие приказом Минстроя России от 1 августа 2018 г. и обновлен изменением №1 от 30 мая 2022 г.",Свод правил,СП 403.1325800.2018_Территории производственного назначения. Правила проектирования благоустройства (с изменением 1).pdf,Свод правил Территории производственного назначения. Правила проектирования благоустройства,"['Проектирование', 'Благоустройство', 'Территории производственного назначения', 'Архитектура', 'Ландшафт']","['благоустройство', 'проектирование', 'территории производственного назначения', 'ландшафтные решения', 'архитектурно-планировочные решения']",русский,289,403.1325800.2018,5,88.8,0.0,Изменение №1,СП 403.1325800.2018_Территории производственного назначения. Правила проектирования благоустройства (с изменением 1).pdf,Действующий,52
Проектирование фибробетонных конструкций с неметаллической фиброй и полимерной арматурой для климатических условий России,Конструкции бетонные,2019-12-24,2025-08-26T04:18:30.926947+00:00,"Настоящий свод правил содержит требования к расчету и проектированию бетонных конструкций с неметаллической фиброй, армированных полимерной композитной арматурой. Правила распространяются на конструкции из тяжелого и мелкозернистого бетонов для эксплуатации в климатических условиях России с температурами от -70 °C до +50 °C.",Свод правил,СП 405.1325800.2018_Конструкции бетонные с неметаллической фиброй и полимерной арматурой.pdf,Свод правил Конструкции бетонные с неметаллической фиброй и полимерной арматурой Правила проектирования,"['расчет', 'проектирование', 'армирование', 'фибробетон', 'композитная арматура']","['фибробетон', 'неметаллическая фибра', 'полимерная арматура', 'бетонные конструкции', 'проектирование', 'климатические условия']",русский,345,405.1325800.2018,5,63.8,0.0,Введен впервые,СП 405.1325800.2018_Конструкции бетонные с неметаллической фиброй и полимерной арматурой.pdf,Действующий,64
"Настоящий свод правил распространяется на промысловые и магистральные стальные трубопроводы и устанавливает основные требования к выполнению сварочных работ, контролю качества сварных соединений при строительстве, реконструкции, капитальном ремонте и проведении строительного контроля за качеством строительно-монтажных работ на линейной части магистральных трубопроводов всех категорий согласно СП 86.13330 для нефти, нефтепродуктов и газа диаметрами до 1420 мм включительно с избыточным давлением среды до 10,0 МПа включительно, а также промысловых трубопроводов по ГОСТ Р 55990 и СП 284.1325800, транспортирующих не содержащие коррозионно-активные компоненты нефть и газ под избыточным давлением среды до 32 МПа.",Строительство,2019-03-20,2025-08-26T04:18:39.051223+00:00,"Свод правил устанавливает требования к монтажным работам, сварке и контролю сварных соединений в стальных магистральных и промысловых трубопроводах для нефти и газа. Документ применяется при строительстве, реконструкции и ремонте трубопроводов, а также при контроле качества строительно-монтажных работ на линейной части трубопроводов.",Свод правил,СП 406.1325800.2018_Трубопроводы магистральные и промысловые стальные для нефти и газа. Сварка и контроль ее выполнения.pdf,Свод правил Трубопроводы магистральные и промысловые стальные для нефти и газа. Монтажные работы. Сварка и контроль ее выполнения,"['требования к сварочным работам', 'контроль качества сварных соединений', 'строительство трубопроводов', 'монтажные технологии', 'нормативные ссылки']","['трубопроводы магистральные', 'трубопроводы промысловые', 'сталь', 'нефть', 'газ', 'монтажные работы', 'сварка', 'контроль сварки', 'строительство', 'реконструкция', 'капитальный ремонт']",русский,225,406.1325800.2018,5,93.2,5.1,Введен впервые,СП 406.1325800.2018_Трубопроводы магистральные и промысловые стальные для нефти и газа. Сварка и контроль ее выполнения.pdf,Действующий,66
"Проектирование организации строительства, производство и оценка качества земляных работ, выполняемых способом гидромеханизации при возведении земляного полотна автомобильных и железных дорог, строительстве каналов, берегозащитных сооружений, портов и других гидротехнических сооружений, для разработки грунтовых притрассовых и строительных (добычных) карьеров, объектов строительной инфраструктуры, а также рекультивации шламохранилищ, хвостохранилищ, золоотвалов",Земляные работы,2024-04-22,2025-08-26T04:18:43.880107+00:00,"Данный свод правил регламентирует проектирование, организацию строительства и производство земляных работ способом гидромеханизации с целью обеспечения требований безопасности зданий и сооружений и других нормативных требований. Документ разработан для различных сфер строительства, включая дороги, гидротехнические сооружения и карьеры.",Свод правил,СП 407.1325800.2024 Земляные работы. Правила проектирования организации строительства и производства работ способом гидромеханизации.pdf,Свод правил Земляные работы. Правила проектирования организации строительства и производства работ способом гидромеханизации,"['проектирование организации строительства', 'производство земляных работ', 'гидромеханизация', 'оценка качества работ']","['земляные работы', 'гидромеханизация', 'проектирование', 'строительство', 'качество работ']",русский,265,407.1325800.2024,5,85.0,1.7,Пересмотр СП 407.1325800.2018,СП 407.1325800.2024 Земляные работы. Правила проектирования организации строительства и производства работ способом гидромеханизации.pdf,Действующий,212
"плиты, свайно-плитные и свайные фундаменты из буронабивных свай и баретт при возведении высотных зданий",Конструкция фундаментов,2023-12-07,2025-08-26T04:18:48.417492+00:00,"Свод правил устанавливает требования к производству работ при устройстве плитных, свайно-плитных и свайных фундаментов из буронабивных свай и баретт для высотных зданий и сооружений. Документ разработан для реализации федеральных законов и технических регламентов, учитывая особенности геологических условий и конструктивные требования.",Свод правил,СП 412.1325800.2018_Конструкции фундаментов высотных зданий и сооружений. Правила производства работ (с изменением 1).pdf,Свод правил Конструкции фундаментов высотных зданий и сооружений. Правила производства работ,"['требования к устройству фундаментов', 'производство работ', 'высотные здания', 'буронабивные сваи', 'баретты']","['конструкция фундаментов', 'высотные здания', 'буронабивные сваи', 'баретты', 'производство работ', 'строительство']",русский,244,412.1325800.2018,5,90.6,5.3,Изменение N 1,СП 412.1325800.2018_Конструкции фундаментов высотных зданий и сооружений. Правила производства работ (с изменением 1).pdf,Действующий,85
"Проектирование конструкций зданий и сооружений, подвергающихся динамическим воздействиям, кроме сейсмических, ветровых и взрывных",Проектирование зданий и сооружений,2020-12-23,2025-08-26T04:18:51.835594+00:00,"Данный свод правил определяет требования к проектированию зданий и сооружений, подвергающихся динамическим воздействиям (кроме сейсмических, ветровых и взрывных). В документе учтены современные нормативные требования и изменения, утверждённые приказом Минстроя России от 23 декабря 2020 года.",Свод правил,"СП 413.1325800.2018_Здания и сооружения, подверженные динамическим воздействиям. Правила проектирования (с изменением 1).pdf","Свод правил Здания и сооружения, подверженные динамическим воздействиям. Правила проектирования","['проектирование конструкций зданий', 'динамические нагрузки', 'нормативные ссылки']","['свод правил', 'динамические воздействия', 'проектирование', 'здания и сооружения', 'Минстрой России', 'изменение 1']",Русский,394,413.1325800.2018,5,89.8,0.0,Изменение 1,"СП 413.1325800.2018_Здания и сооружения, подверженные динамическим воздействиям. Правила проектирования (с изменением 1).pdf",Действующий,71
"Проектирование монолитных и сборно-монолитных зданий и сооружений, возводимых с помощью несъемной опалубки",Строительство,2021-12-03,2025-08-26T04:18:55.203033+00:00,"Настоящий свод правил предназначен для проектирования монолитных и сборно-монолитных зданий и сооружений, возводимых с помощью несъемной опалубки. Документ разработан с учётом требований федеральных законов и содержит нормативные ссылки на соответствующие ГОСТы по безопасности труда и другим стандартам.",Свод правил,СП 414.1325800.2018_Несъемная опалубка. Правила проектирования (с изменением 1).pdf,Свод правил Несъемная опалубка Правила проектирования,"['проектирование', 'несъемная опалубка', 'строительство', 'нормативные документы', 'безопасность труда']","['несъемная опалубка', 'проектирование зданий', 'монолитные здания', 'сборно-монолитные здания', 'Строительство', 'техническое регулирование']",русский,261,414.1325800.2018,5,90.0,0.0,Изменение N 1,СП 414.1325800.2018_Несъемная опалубка. Правила проектирования (с изменением 1).pdf,Действующий,52
Акустическое проектирование общественных зданий,Архитектура,2019-05-16,2025-08-26T04:18:58.291325+00:00,"Свод правил содержит требования и рекомендации по акустическому проектированию общественных зданий, включая звукоизоляцию, акустические критерии, характеристики систем озвучения залов и состав проектной документации по акустике.",Свод правил,СП 415.1325800.2018_Здания общественные. Правила акустического проектирования.pdf,СП 415.1325800.2018 Здания общественные. Правила акустического проектирования,"['акустические требования', 'звукопоглощение', 'звукоизоляция', 'система озвучения']","['акустическое проектирование', 'звукоизоляция', 'общественные здания', 'система озвучения', 'акустические требования']",Русский,255,415.1325800.2018,5,95.8,0.0,Введен впервые,СП 415.1325800.2018_Здания общественные. Правила акустического проектирования.pdf,Действующий,23
Проектирование сооружений инженерной защиты берегов приливных морей,Инженерная защита берегов,2019-05-31,2025-08-26T04:19:01.424234+00:00,"Настоящий свод правил разработан для проектирования сооружений инженерной защиты берегов приливных морей с учетом требований федеральных законов и нормативных документов Российской Федерации. В документе определены термины, приведены нормативные ссылки и изложены правила проектирования.",Свод правил,СП 416.1325800.2018_Инженерная защита берегов приливных морей. Правила проектирования.pdf,Свод правил Инженерная защита берегов приливных морей Правила проектирования,"['нормативные документы', 'термины и определения', 'правила проектирования', 'гидротехнические сооружения', 'безопасность зданий и сооружений']","['инженерная защита берегов', 'приливные моря', 'правила проектирования', 'гидротехнические сооружения', 'проектирование']",Русский,216,416.1325800.2018,5,91.1,0.0,Введен впервые,СП 416.1325800.2018_Инженерная защита берегов приливных морей. Правила проектирования.pdf,Действующий,44
Проектирование зданий железнодорожных вокзалов,Архитектура,2019-06-06,2025-08-26T04:19:05.915469+00:00,"Свод правил устанавливает правила проектирования зданий железнодорожных вокзалов, включая требования к размещению, объемно-планировочным и конструктивным решениям, обеспечению пожарной и комплексной безопасности, инженерному оборудованию, а также санитарно-эпидемиологическим требованиям.",Свод правил,СП 417.1325800.2018_Железнодорожные вокзальные комплексы. Правила проектирования (с изменением 1).pdf,Свод правил СП 417.1325800.2018 Здания железнодорожных вокзалов. Правила проектирования,"['организация движения пассажиров и багажа', 'конструктивные решения', 'безопасность', 'инженерное оборудование', 'классификация вокзалов']","['здания железнодорожных вокзалов', 'проектирование', 'архитектура', 'оборудование', 'пожарная безопасность', 'санитарно-эпидемиологические требования']",русский,160,417.1325800.2018,5,96.4,0.0,Введен впервые,СП 417.1325800.2018_Железнодорожные вокзальные комплексы. Правила проектирования (с изменением 1).pdf,Действующий,32
Производственные здания,Архитектура,2021-12-03,2025-08-26T04:19:09.145134+00:00,"Свод правил устанавливает требования к проектированию и реконструкции естественного и совмещенного освещения производственных зданий, обеспечивая безопасные и комфортные условия для работы зрения. Включает методы расчета параметров естественного освещения, светотехнические параметры и принципы выбора искусственного освещения.",Свод правил,СП 419.1325800.2018_Здания производственные. Правила проектирования естественного и совмещенного освещения (с изменением 1).pdf,Свод правил Здания производственные Правила проектирования естественного и совмещенного освещения,"['естественное освещение', 'совмещенное освещение', 'проектирование зданий', 'светотехнические расчеты']","['проектирование', 'естественное освещение', 'совмещенное освещение', 'производственные здания', 'коэффициент естественной освещенности', 'освещение', 'реконструкция']",русский,317,419.1325800.2018,5,74.2,0.5,Изм.1,СП 419.1325800.2018_Здания производственные. Правила проектирования естественного и совмещенного освещения (с изменением 1).pdf,Действующий,228
"Строительство и контроль выполнения работ на подводных переходах через водные преграды магистральных и промысловых трубопроводов для нефти, газа и нефтепродуктопроводов",Строительство,2019-12-24,2025-08-26T04:19:13.358884+00:00,"Данный свод правил устанавливает требования по строительству и контролю выполнения работ на подводных переходах через водные преграды для магистральных и промысловых трубопроводов нефти и газа с условным диаметром до DN 1400 и определённым давлением. Включает методы укладки, балластировку трубопроводов, берегоукрепительные работы и охрану окружающей среды.",Свод правил,СП 422.1325800.2018_Трубопроводы магистральные и промысловые для нефти и газа. Строительство подводных переходов.pdf,Свод правил Трубопроводы магистральные и промысловые для нефти и газа. Строительство подводных переходов и контроль выполнения работ,"['строительство трубопроводов', 'подводные переходы', 'контроль работ', 'экологическая безопасность']","['магистральные трубопроводы', 'промысловые трубопроводы', 'нефть', 'газ', 'строительство подводных переходов', 'контроль выполнения работ', 'балластировка', 'горизонтальное направленное бурение', 'микротоннелирование']",Русский,247,422.1325800.2018,5,88.1,0.0,Введен впервые,СП 422.1325800.2018_Трубопроводы магистральные и промысловые для нефти и газа. Строительство подводных переходов.pdf,Действующий,95
"Электроустановки напряжением до 1 кВ переменного и до 1,2 кВ постоянного тока, применяемые во взрывоопасных зонах, кроме установок в подземных выработках, медицинских помещениях и др.",Электроустановки,2021-12-07,2025-08-26T04:19:17.755930+00:00,"Данный свод правил устанавливает требования к проектированию и выбору низковольтных электроустановок зданий и сооружений для эксплуатации во взрывоопасных зонах. Документ учитывает требования федеральных законов и технических регламентов, обеспечивая безопасность использования оборудования напряжением до 1 кВ переменного и до 1,2 кВ постоянного тока во взрывоопасных условиях.",Свод правил,СП 423.1325800.2018_Электроустановки низковольтные зданий и сооружений. Правила проектирования во взрывоопасных зонах (с изменением 1).pdf,Свод правил Электроустановки низковольтные зданий и сооружений. Правила проектирования во взрывоопасных зонах,"['требования к проектированию', 'взрывоопасные зоны', 'электроустановки низковольтные']","['низковольтные электроустановки', 'взрывоопасные зоны', 'проектирование', 'электрооборудование', 'безопасность']",русский,297,423.1325800.2018,5,85.1,11.5,Изм.1,СП 423.1325800.2018_Электроустановки низковольтные зданий и сооружений. Правила проектирования во взрывоопасных зонах (с изменением 1).pdf,Действующий,115
"Правила производства и контроля выполнения строительно-монтажных и пусконаладочных работ по электрохимической защите от коррозии магистральных и промысловых трубопроводов, транспортирующих нефть, газ, конденсат и продукты их переработки",Пожарная безопасность,2019-08-01,2025-08-26T04:19:22.914022+00:00,"Настоящий свод правил устанавливает правила производства и контроля выполнения строительно-монтажных и пусконаладочных работ по электрохимической защите от коррозии магистральных и промысловых трубопроводов. Документ разработан для обеспечения безопасности и эффективности работ по электрохимической защите трубопроводов, транспортирующих нефть, газ и продукты их переработки.",Свод правил,СП 424.1325800.2019_Трубопроводы магистральные и промысловые для нефти и газа. Производство работ по противокоррозионной защите.pdf,Свод правил Трубопроводы магистральные и промысловые для нефти и газа. Производство работ по противокоррозионной защите средствами электрохимзащиты и контроль выполнения работ,"['эксплуатация трубопроводов', 'противокоррозионная защита', 'строительно-монтажные работы', 'пусконаладочные работы', 'электрохимическая защита']","['противокоррозионная защита', 'электрохимзащита', 'магистральные трубопроводы', 'промысловые трубопроводы', 'нефть', 'газ', 'контроль выполнения работ']",русский,288,424.1325800.2019,5,82.6,0.0,Введен впервые,СП 424.1325800.2019_Трубопроводы магистральные и промысловые для нефти и газа. Производство работ по противокоррозионной защите.pdf,Действующий,72
Проектирование защитных мероприятий от эрозионных процессов на территориях,Инженерная защита территорий,2019-06-11,2025-08-26T04:19:26.542408+00:00,"Свод правил СП 425.1325800.2018 устанавливает правила проектирования инженерной защиты территорий от эрозионных процессов. Документ включает классификацию эрозионных процессов и мероприятий, методы расчета и конструирования противоэрозионных сооружений и мероприятий.",Свод правил,СП 425.1325800.2018_Инженерная защита территорий от эрозионных процессов. Правила проектирования.pdf,Свод правил СП 425.1325800.2018 Инженерная защита территорий от эрозионных процессов. Правила проектирования,"['инженерно-геологические изыскания', 'классификация эрозионных процессов', 'противоэрозионные мероприятия', 'расчет и конструирование сооружений']","['инженерная защита', 'эрозионные процессы', 'противоэрозионные мероприятия', 'противоэрозионные сооружения', 'проектирование']",русский,269,425.1325800.2018,5,97.6,0.0,Введен впервые,СП 425.1325800.2018_Инженерная защита территорий от эрозионных процессов. Правила проектирования.pdf,Действующий,36
Проектирование светопрозрачных фасадных систем зданий и сооружений,Архитектура,2018-11-29,2025-08-26T04:19:30.670073+00:00,"Свод правил содержит требования по проектированию светопрозрачных фасадных систем зданий и сооружений. Разработан на основании федеральных законов в области безопасности зданий, пожарной безопасности и энергоэффективности. Вводится впервые с 30 мая 2019 года.",Свод правил,СП 426.1325800.2018_Конструкции ограждающие светопрозрачные зданий и сооружений. Правила проектирования.pdf,СП 426.1325800.2018 Конструкции фасадные светопрозрачные зданий и сооружений. Правила проектирования,"['требования к светопрозрачным фасадам', 'конструктивные требования', 'противопожарные требования', 'испытания фасадных систем']","['фасадные конструкции', 'светопрозрачные системы', 'правила проектирования', 'проектирование фасадов', 'пожарная безопасность', 'энергосбережение']",Русский,207,426.1325800.2018,5,93.2,4.5,Введен впервые,СП 426.1325800.2018_Конструкции ограждающие светопрозрачные зданий и сооружений. Правила проектирования.pdf,Действующий,29
"Методы усиления каменных и армокаменных конструкций зданий и сооружений различного назначения, эксплуатируемых в климатических условиях Российской Федерации",Каменые и армокаменные конструкции,2023-08-09,2025-08-26T04:19:34.526770+00:00,"Свод правил устанавливает требования к методам усиления каменных и армокаменных конструкций, возведенных с применением различных материалов, и распространяется на здания и сооружения различного назначения, кроме объектов в сейсмоопасных районах, мостов, труб, тоннелей, гидротехнических сооружений и тепловых агрегатов.",Свод правил,"СП 427.1325800.2018_Каменные и армокаменные конструкции. Методы усиления (с изменениями 1, 2).pdf",СП 427.1325800.2018 Каменные и армокаменные конструкции Методы усиления,"['усиление конструкций', 'строительные материалы', 'нормативные требования']","['усиление', 'каменные конструкции', 'армокаменные конструкции', 'методы усиления', 'строительство', 'эксплуатация']",русский,238,427.1325800.2018,5,77.6,0.6,"Изменения N 2, от 09.08.2023","СП 427.1325800.2018_Каменные и армокаменные конструкции. Методы усиления (с изменениями 1, 2).pdf",Действующий,115
Строительство в лавиноопасных районах,Инженерные изыскания,2019-06-20,2025-08-26T04:19:39.015070+00:00,"Свод правил устанавливает общие требования к проведению инженерных изысканий для строительства в лавиноопасных районах. Включает требования для подготовки документации территориального планирования, архитектурно-строительного проектирования и строительства зданий и сооружений с учетом лавинной опасности.",Свод правил,СП 428.1325800.2018_Инженерные изыскания для строительства в лавиноопасных районах. Общие требования.pdf,Свод правил СП 428.1325800.2018 Инженерные изыскания для строительства в лавиноопасных районах. Общие требования,"['требования к инженерным изысканиям', 'подготовка проектной документации', 'расчеты лавинной активности']","['инженерные изыскания', 'лавиноопасные районы', 'строительство', 'проектирование', 'территориальное планирование']",Русский,268,428.1325800.2018,5,93.5,0.9,Введен впервые,СП 428.1325800.2018_Инженерные изыскания для строительства в лавиноопасных районах. Общие требования.pdf,Действующий,40
