area_of_application,category,date_issue,date_of_analysis,description,document_type,filename,full_name,keytopics,keywords,language,median_content_length,number,pages_analyzed,percent_clause_detection,percent_missing_clauses,revision,source,status,total_pages
"Проектирование и реконструкция участков магистральных нефтепродуктопроводов, прокладываемых на территории городов и других населенных пунктов",Трубопроводы нефтепродуктов,2023-03-13,2025-08-26T03:42:34.486347+00:00,"Данный свод правил регулирует проектирование и реконструкцию участков магистральных нефтепродуктопроводов, предназначенных для транспортирования дизельного топлива, автомобильных бензинов и топлива для реактивных двигателей, прокладываемых на территории городов и других населенных пунктов. Включает актуализированную редакцию СНиП 2.05.13-90 с изменениями, утверждёнными в 2016 и 2023 годах.",Свод правил,"СП 125.13330.2012 Нефтепродуктопроводы, прокладываемые на территории городов и других населенных пунктов.pdf","Свод правил СП 125.13330.2012 Нефтепродуктопроводы, прокладываемые на территории городов и других населенных пунктов","['транспортирование нефтепродуктов', 'строительство трубопроводов', 'технические нормы']","['нефтепродуктопроводы', 'проектирование', 'реконструкция', 'магистральные трубопроводы', 'города', 'населённые пункты']",русский,290,125.13330.2012,5,95.8,0.0,"Изменения N 2, утв. 13.03.2023","СП 125.13330.2012 Нефтепродуктопроводы, прокладываемые на территории городов и других населенных пунктов.pdf",Действующий,24
"Геодезические работы в строительстве, контроль точности геометрических параметров зданий и сооружений, мониторинг деформаций строительных конструкций, исполнительные и контрольные съемки при строительстве, реконструкции, эксплуатации и сносе объектов капитального строительства, сетей инженерно-технического обеспечения; строительство без разрешения на строительство; объекты индивидуального жилищного строительства",Строительство,2022-12-14,2025-08-26T03:42:41.046682+00:00,"Настоящий свод правил устанавливает требования к производству геодезических работ в строительстве, включая контроль точности геометрии зданий и сооружений, мониторинг деформаций, исполнительные и контрольные съемки. Документ подготовлен и утвержден Министерством строительства и жилищно-коммунального хозяйства РФ и содержит изменения, утвержденные в 2022 году.",Свод правил,"СП 126.13330.2017_Геодезические работы в строительстве. СНиП 3.01.03-84 (с изменениями 1, 2).pdf",Свод правил Геодезические работы в строительстве СНиП 3.01.03-84 СП 126.13330.2017,"['технический регламент о безопасности зданий и сооружений', 'контроль параметров строительных конструкций', 'мониторинг и съемка в строительстве']","['геодезические работы', 'строительство', 'контроль точности', 'мониторинг деформаций', 'исполнительные съемки', 'строительство без разрешения', 'индивидуальное жилищное строительство']",русский,257,126.13330.2017,5,88.1,74.0,Изменение N 1,"СП 126.13330.2017_Геодезические работы в строительстве. СНиП 3.01.03-84 (с изменениями 1, 2).pdf",Действующий,95
"Проектирование строительных алюминиевых конструкций зданий и сооружений, за исключением алюминиевых конструкций мостов и конструкций, подвергающихся многократному воздействию нагрузок, динамических нагрузок или воздействию температуры свыше 100 °C",Архитектура,2024-07-29,2025-08-26T03:42:45.832123+00:00,"Данный свод правил устанавливает требования к проектированию алюминиевых конструкций зданий и сооружений для повышения безопасности и гармонизации с европейскими и международными нормативными требованиями. Включает пересмотр предыдущей редакции СНиП 2.03.06-85 с внесенными изменениями, утвержденными приказом Минстроя России.",Свод правил,СП 128.13330.2016_Алюминиевые конструкции (с изменением 1).pdf,Свод Правил Алюминиевые Конструкции Актуализированная Редакция СНиП 2.03.06-85,"['технические требования', 'пересмотр нормативов', 'безопасность конструкций', 'строительное проектирование']","['алюминиевые конструкции', 'проектирование', 'строительные конструкции', 'безопасность', 'нормативные документы', 'СНиП 2.03.06-85']",русский,294,128.13330.2016,5,84.3,0.6,Изменение N 1,СП 128.13330.2016_Алюминиевые конструкции (с изменением 1).pdf,Действующий,142
Наружные сети и сооружения водоснабжения и канализации,Системы водоснабжения и систем канализации,2019-12-31,2025-08-26T03:42:50.369928+00:00,"Свод правил, устанавливающий требования к проектированию, строительству и эксплуатации наружных сетей и сооружений водоснабжения и канализации. Является актуализированной редакцией СНиП 3.05.04-85*. Документ утвержден Министерством строительства и жилищно-коммунального хозяйства Российской Федерации и введен в действие с 1 июля 2020 г.",Свод правил,СП 129.13330.2019_Наружные сети и сооружения водоснабжения и канализации (с изменением 1).pdf,СП 129.13330.2019 Наружные сети и сооружения водоснабжения и канализации. Актуализированная редакция СНиП 3.05.04-85*,"['технические регламенты', 'нормативные ссылки', 'требования к строительству и проектированию', 'актуализация СНиП']","['наружные сети водоснабжения', 'сооружения водоснабжения', 'канализация', 'актуализация СНиП', 'водоснабжение', 'системы водоснабжения', 'системы канализации']",Русский,362,129.13330.2019,5,84.9,1.0,Актуализированная редакция,СП 129.13330.2019_Наружные сети и сооружения водоснабжения и канализации (с изменением 1).pdf,Действующий,95
Атомные станции,Пожарная безопасность,2015-05-06,2025-08-26T03:42:54.189636+00:00,"Настоящий свод правил устанавливает требования по обеспечению пожарной безопасности атомных станций на различных этапах жизненного цикла с реакторами всех типов, за исключением транспортных, исследовательских и реакторных установок специального назначения. Документ включает требования, связанные с обеспечением водородной безопасности и применением оборудования с жидкометаллическими теплоносителями, основанные на расчетном анализе образования взрывоопасных концентраций газовых смесей и пожаров.",Свод правил,СП 13.13130.2009 Атомные станции. Требования пожарной безопасности.pdf,Свод правил Атомные станции Требования пожарной безопасности,"['требования пожарной безопасности', 'атомные станции', 'жизненный цикл реакторов', 'водородная безопасность', 'противопожарные системы']","['пожарная безопасность', 'атомные станции', 'ядерные реакторы', 'водородная безопасность', 'жидкометаллические теплоносители', 'взрывоопасные концентрации', 'пожары']",русский,340,13.13130.2009,5,92.0,0.0,Изменение N 1,СП 13.13130.2009 Атомные станции. Требования пожарной безопасности.pdf,Действующий,37
Производство сборных железобетонных конструкций и изделий,Производство сборных железобетонных конструкций и изделий,2018-12-19,2025-08-26T03:42:57.215504+00:00,"Документ утверждает свод правил для производства сборных железобетонных конструкций и изделий, заменяющий СНиП 3.09.01-85, с требованиями и нормами, необходимыми для организации и контроля производственного процесса.",Свод правил,"СП 130.13330.2018_Производство сборных железобетонных конструкций и издели (с изменением 1, 2).pdf",СП 130.13330.2018 Производство сборных железобетонных конструкций и изделий СНиП 3.09.01-85,"['производство сборных железобетонных конструкций', 'железобетонные изделия', 'технические нормы', 'строительные правила']","['свод правил', 'производство железобетонных конструкций', 'железобетонные изделия', 'строительство', 'нормы и правила']",Русский,281,130.13330.2018,5,92.9,0.8,Пересмотр СП 130.13330.2011,"СП 130.13330.2018_Производство сборных железобетонных конструкций и издели (с изменением 1, 2).pdf",Действующий,72
"Климатические параметры для проектирования зданий и сооружений, систем отопления, вентиляции, кондиционирования, водоснабжения, планировка и застройка территорий РФ",Строительство,2021-06-25,2025-08-26T03:43:01.335121+00:00,"Свод правил устанавливает климатические параметры, применяемые при проектировании зданий и сооружений, систем отопления, вентиляции, кондиционирования, водоснабжения, а также при планировке и застройке городских и сельских поселений на территории Российской Федерации. Документ разработан в соответствии с требованиями федеральных законов по техническому регулированию и энергосбережению, и введён в действие с 25 июня 2021 года.",Свод правил,"СП 131.13330.2020_Строительная климатология (с изменениями 1, 2).pdf",СП 131.13330.2020 Строительная климатология,"['климатические параметры', 'проектирование', 'энергосбережение', 'строительство']","['строительная климатология', 'климатические параметры', 'проектирование зданий', 'отопление', 'вентиляция', 'кондиционирование', 'водоснабжение', 'планировка территорий']",Русский,2023,131.13330.2020,5,44.2,4.1,Пересмотр СП 131.13330.2018,"СП 131.13330.2020_Строительная климатология (с изменениями 1, 2).pdf",Действующий,81
Проектирование зданий и сооружений с учетом антитеррористической защищенности,Противодействие терроризму,2011-09-20,2025-08-26T03:43:05.023170+00:00,"Свод правил устанавливает минимально необходимые требования к проектным решениям, направленным на обеспечение антитеррористической защищенности зданий и сооружений. Документ направлен на предотвращение несанкционированного доступа и обнаружение взрывных устройств, оружия, боеприпасов на различных объектах, включая социально-культурные и коммунально-бытовые здания.",Свод правил,СП 132.13330.2011 Обеспечение антитеррористической защищенности зданий и сооружений.pdf,СП 132.13330.2011 Обеспечение антитеррористической защищенности зданий и сооружений. Общие требования проектирования,"['техническое регулирование', 'проектная документация', 'безопасность зданий', 'противодействие терроризму']","['антитеррористическая защищенность', 'здания и сооружения', 'проектирование', 'безопасность', 'противодействие террористическим актам']",русский,420,132.13330.2011,5,93.5,0.0,Введен впервые,СП 132.13330.2011 Обеспечение антитеррористической защищенности зданий и сооружений.pdf,Действующий,6
"Проектирование сети проводного радиовещания и оповещения в зданиях и сооружениях, локальных систем оповещения на опасных объектах и систем оповещения населённых пунктов на территории Российской Федерации",Проектирование систем оповещения и радиовещания,2017-04-17,2025-08-26T03:43:09.599754+00:00,"Свод правил устанавливает требования к проектированию систем проводного радиовещания и оповещения в зданиях и сооружениях для обеспечения безопасности пользователей и соответствия техническим регламентам. Документ включает нормы проектирования локальных систем оповещения на опасных объектах и систем оповещения населённых пунктов, актуализирован изменением от 17 апреля 2017 года.",Свод правил,СП 133.13330.2012 Сети проводного радиовещания и оповещения в зданиях и сооружения (изм 3).pdf,Свод правил Сети проводного радиовещания и оповещения в зданиях и сооружениях. Нормы проектирования,"['нормы проектирования', 'системы радиовещания', 'системы оповещения', 'безопасность зданий и сооружений']","['проводное радиовещание', 'система оповещения', 'проектирование', 'безопасность зданий', 'технический регламент', 'локальные системы оповещения']",Русский,326,133.13330.2012,5,96.4,2.2,Изм.1,СП 133.13330.2012 Сети проводного радиовещания и оповещения в зданиях и сооружения (изм 3).pdf,Действующий,28
"Проектирование систем электросвязи инженерно-технического обеспечения в новостроящихся, реконструируемых и капитально ремонтируемых зданиях и сооружениях Российской Федерации",Системы электросвязи зданий и сооружений,2022-12-23,2025-08-26T03:43:14.185961+00:00,"Данный свод правил устанавливает минимально необходимые требования к проектированию систем электросвязи в зданиях и сооружениях. Он распространяется на проектирование новых, реконструируемых и капитально ремонтируемых объектов. Исключаются частные дома, некапитальные строения, высотные здания, транспортные сооружения и объекты с повышенным уровнем ответственности. Документ утвержден приказом Минстроя России от 23.12.2022 и введен в действие с 24.01.2023.",Свод правил,СП 134.13330.2022_Cистемы электросвязи зданий и сооружений. Основные положения проектирования (с изменением 1).pdf,СП 134.13330.2022 Свод правил Системы электросвязи зданий и сооружений Основные положения проектирования,"['проектирование систем электросвязи', 'минимальные требования', 'новые здания', 'реконструкция', 'капитальный ремонт', 'нормативные ссылки']","['свод правил', 'системы электросвязи', 'проектирование', 'к зданиям и сооружениям', 'Минстрой России', 'требования']",русский,244,134.13330.2022,5,94.5,0.0,Пересмотр СП 134.13330.2012,СП 134.13330.2022_Cистемы электросвязи зданий и сооружений. Основные положения проектирования (с изменением 1).pdf,Действующий,55
"Вертодромы, посадочные площадки для вертолетов на крышах зданий и сооружений",Пожарная безопасность,2012-11-13,2025-08-26T03:43:21.859508+00:00,"Данный свод правил устанавливает требования пожарной безопасности к вертодромам, размещаемым на крышах зданий и сооружений. Применяется при проектировании, строительстве, капитальном ремонте и реконструкции вертодромов, определяет нормы обеспечения дополнительным противопожарным и спасательным оборудованием.",Свод правил,СП 135.13130.2012 Вертодромы. Требования пожарной безопасности.pdf,Свод правил СП 135.13130.2012 Вертодромы. Требования пожарной безопасности,"['требования пожарной безопасности', 'нормы обеспечения', 'проектирование вертодромов', 'строительство вертодромов', 'капитальный ремонт вертодромов', 'реконструкция вертодромов']","['вертодромы', 'пожарная безопасность', 'посадочные площадки для вертолетов', 'проектирование', 'строительство', 'капитальный ремонт', 'реконструкция', 'противопожарное оборудование']",русский,206,135.13130.2012,5,93.0,8.5,Введен впервые,СП 135.13130.2012 Вертодромы. Требования пожарной безопасности.pdf,Действующий,23
Проектирование зданий и сооружений с учетом доступности для маломобильных групп населения,Архитектура,2022-12-27,2025-08-26T03:43:26.332435+00:00,"Свод правил устанавливает общие положения проектирования зданий и сооружений с учетом доступности для маломобильных групп населения. Документ разработан в соответствии с федеральными законами и техническими регламентами, включая требования безопасности зданий и социальной защиты инвалидов. Содержит обновления, утвержденные в 2016 и 2022 годах.",Свод правил,"СП 136.13330.2012_Общие положения проектирования с учетом доступности для маломобильных групп населения (с изменениями 1, 2).pdf",СП 136.13330.2012 Общие положения проектирования с учетом доступности для маломобильных групп населения,"['требования проектирования', 'инклюзивная архитектура', 'нормативное регулирование']","['доступность', 'проектирование', 'здания и сооружения', 'маломобильные группы населения', 'техническое регулирование', 'безопасность зданий']",Русский,264,136.13330.2012,5,97.1,0.0,"Изменения N 2, утв. Приказом Минстроя России от 27.12.2022 N 1137/пр","СП 136.13330.2012_Общие положения проектирования с учетом доступности для маломобильных групп населения (с изменениями 1, 2).pdf",Действующий,35
"Проектирование многоквартирных жилых зданий, домов жилищного фонда социального использования, общественных зданий временного пребывания, детских домов семейного типа, а также жилых помещений в составе других общественных зданий",Архитектура,2023-12-19,2025-08-26T03:43:31.110336+00:00,"Свод правил устанавливает требования и правила проектирования жилой среды с планировочными элементами, доступными для инвалидов. Документ ориентирован на создание доступной среды в многоквартирных жилых зданиях и других общественных зданиях, учитывая опыт российских и международных стандартов.",Свод правил,"СП 137.13330.2012 Жилая среда с планировочными элементами, доступными инвалидам. Правила проектирования.pdf","Свод правил Жилая среда с планировочными элементами, доступными инвалидам Правила проектирования","['доступная архитектура', 'проектировочные решения', 'инклюзивное строительство']","['жилая среда', 'доступность для инвалидов', 'проектирование', 'многоквартирные жилые здания', 'социальное жилье', 'общественные здания', 'нормативные документы']",русский,350,137.13330.2012,5,91.9,5.6,"Изменения N 2, утв. Приказом Минстроя России от 19.12.2023 N 949/пр","СП 137.13330.2012 Жилая среда с планировочными элементами, доступными инвалидам. Правила проектирования.pdf",Действующий,29
"Общественные здания и сооружения, доступные маломобильным группам населения",Архитектура,2016-11-07,2025-08-26T03:43:36.699807+00:00,"Свод правил по проектированию общественных зданий и сооружений, доступных маломобильным группам населения. Документ разработан в соответствии с техническими регламентами и устанавливает правила архитектурного проектирования для обеспечения доступности.",Свод правил,"СП 138.13330.2012_Общественные здания и сооружения, доступные маломобильным группам населения (с изменениями 1, 2, 3).pdf","СП 138.13330.2012 Свод правил Общественные здания и сооружения, доступные маломобильным группам населения Правила проектирования","['правила проектирования', 'доступность зданий', 'архитектурные стандарты']","['общественные здания', 'доступность', 'маломобильные группы населения', 'архитектурное проектирование', 'технические регламенты']",Русский,259,138.13330.2012,5,95.5,0.3,Изм.1,"СП 138.13330.2012_Общественные здания и сооружения, доступные маломобильным группам населения (с изменениями 1, 2, 3).pdf",Действующий,113
"Проектирование предприятий различных отраслей промышленности, предприятий малого и среднего бизнеса, административно-управленческих зданий, зданий проектных и научно-исследовательских институтов и других общественных зданий с отдельными рабочими местами для инвалидов",Архитектура,2023-12-28,2025-08-26T03:43:42.484414+00:00,"Данный свод правил регламентирует требования к проектированию зданий и помещений, оборудованных рабочими местами для инвалидов, в соответствии с законодательством Российской Федерации и принципами Конвенции ООН о правах инвалидов. Используется совместно с другими нормативными документами, охватывает проектирование предприятий различных отраслей и общественных зданий с рабочими местами для инвалидов.",Свод правил,"СП 139.13330.2012_Здания и помещения с местами труда для инвалидов. Правила проектирования (с изменениями 1, 2).pdf",Свод правил Здания и помещения с местами труда для инвалидов Правила проектирования,"['требования проектирования', 'безопасность зданий и сооружений', 'инклюзивная архитектура']","['свод правил', 'здания для инвалидов', 'рабочие места для инвалидов', 'проектирование', 'архитектура', 'техническое регулирование', 'конвенция о правах инвалидов']",Русский,452,139.13330.2012,5,89.8,3.8,Изменения N 2 от 28.12.2023,"СП 139.13330.2012_Здания и помещения с местами труда для инвалидов. Правила проектирования (с изменениями 1, 2).pdf",Действующий,29
Строительство в сейсмических районах,Строительство,2024-09-19,2025-08-26T03:43:48.689077+00:00,"Свод правил, утвержденный Минстроем России, посвящён строительству в сейсмических районах и содержит актуализированную редакцию СНиП II-7-81*. Документ регулирует технические требования и нормы для обеспечения сейсмостойкости зданий и сооружений. Включает изменения, утверждённые в 2022 и 2024 годах.",Свод правил,"СП 14.13330.2018_Строительство в сейсмических районах (с изменениями 2, 3, 4).pdf",Свод правил Строительство в сейсмических районах Актуализированная редакция СНиП II-7-81* Seismic building design code СП 14.13330.2018,"['строительство в сейсмических районах', 'технические нормы и правила', 'сейсмостойкость зданий', 'обеспечение безопасности']","['сейсмические районы', 'строительство', 'сейсмостойкость', 'техническое регулирование', 'СНиП II-7-81*', 'Минстрой России']",Русский,414,14.13330.2018,5,74.5,0.7,"Изменения N 4, утв. Приказом Минстроя России от 19.09.2024 N 632/пр","СП 14.13330.2018_Строительство в сейсмических районах (с изменениями 2, 3, 4).pdf",Действующий,208
Правила проектирования по формированию доступной городской среды для инвалидов и других маломобильных групп населения; применяется для реконструируемых территорий разного функционального назначения городов и для существующей застройки с соблюдением доступности зданий и сооружений,Городская среда,2023-12-28,2025-08-26T03:43:53.356283+00:00,"Документ содержит обязательные и рекомендательные нормы и правила по проектированию среды, адаптированной для инвалидов и других маломобильных групп населения. Разработан в развитие положений СП 42.13330 и СП 59.13330, в соответствии с Конвенцией ООН о правах инвалидов. Включает требования по доступности городской среды для маломобильных граждан, включая инвалидов с различными нарушениями.",Свод правил,СП 140.13330.2012 Городская среда. Правила проектирования для маломобильных групп населения (Пересмотр).pdf,Свод правил Городская среда. Правила проектирования для маломобильных групп населения,"['доступная городская среда', 'проектирование для инвалидов', 'инклюзивная архитектура', 'правила проектирования']","['маломобильные группы населения', 'городская среда', 'доступность зданий', 'проектирование', 'инвалиды', 'СП 140.13330.2012', 'Изменения 1 и 2']",Русский,475,140.13330.2012,5,81.2,6.2,"Изменения N 2, утв. Приказом Минстроя России от 28.12.2023 N 1004/пр",СП 140.13330.2012 Городская среда. Правила проектирования для маломобильных групп населения (Пересмотр).pdf,Действующий,79
"Устанавливает правила проектирования по формированию доступной городской среды для инвалидов и других маломобильных групп населения в городских населенных пунктах, включая проектирование нового строительства и реконструкцию территорий общего пользования",Городская среда,2024-12-26,2025-08-26T03:43:57.315039+00:00,"Документ устанавливает правила проектирования доступной городской среды для маломобильных групп населения с учетом требований федерального законодательства и технических регламентов, направленных на обеспечение безопасности и доступности городской среды.",Свод правил,СП 140.13330.2024_Городская среда. Правила проектирования для маломобильных групп населения.pdf,Свод правил Городская среда. Правила проектирования для маломобильных групп населения,"['правила проектирования', 'доступная среда', 'технические нормативы', 'федеральные законы', 'реконструкция территорий']","['доступность', 'городская среда', 'маломобильные группы населения', 'проектирование', 'инвалиды']",Русский,242,140.13330.2024,5,92.5,0.0,Пересмотр СП 140.13330.2012,СП 140.13330.2024_Городская среда. Правила проектирования для маломобильных групп населения.pdf,Действующий,12
Правила расчета и размещения учреждений социального обслуживания населения,Учреждения социального обслуживания населения,2015-12-30,2025-08-26T03:44:01.189855+00:00,"Документ устанавливает правила расчета вместимости и размещения учреждений социального обслуживания населения. Разрабатывается с учетом федеральных нормативов и международных соглашений, детализирует требования по проектированию в этой области.",Свод правил,СП 141.13330.2012 Учреждения социального обслуживания маломобильных групп населения. Правила расчета и размещения.pdf,СП 141.13330.2012 Свод Правил Учреждения Социального Обслуживания Населения Правила Расчета И Размещения,"['расчет вместимости', 'проектирование учреждений', 'обеспечение доступности', 'нормативное регулирование', 'технические требования']","['учреждения социального обслуживания', 'правила расчета', 'размещение', 'строительство', 'доступность', 'безопасность']",русский,462,141.13330.2012,5,85.0,2.7,"Изменения N 1, утверждены Приказом Минстроя России от 30.12.2015 N 969/пр",СП 141.13330.2012 Учреждения социального обслуживания маломобильных групп населения. Правила расчета и размещения.pdf,Действующий,47
"Проектирование зданий центров ресоциализации в системе органов социальной защиты. Требования распространяются на новые объекты, реконструкцию, модернизацию и обустройство помещений действующих центров ресоциализации.",Архитектура,2015-12-30,2025-08-26T03:44:06.645555+00:00,"Свод правил устанавливает требования к проектированию зданий центров ресоциализации для социальной помощи лицам, занимающимся бродяжничеством и нуждающимся в социальной помощи. Документ актуализирован с учётом современных нормативов и содержит правила для новых зданий, реконструкции и модернизации существующих объектов.",Свод правил,СП 142.13330.2012 Здания центров ресоциализации. Правила проектирования.pdf,Свод правил СП 142.13330.2012 Здания центров ресоциализации. Правила проектирования,"['требования к проектированию', 'социальная помощь', 'безопасность зданий', 'нормы и стандарты']","['свод правил', 'здания центров ресоциализации', 'проектирование', 'социальная защита', 'архитектура', 'нормативные требования']",Русский,162,142.13330.2012,5,91.8,0.0,Изменение N 1,СП 142.13330.2012 Здания центров ресоциализации. Правила проектирования.pdf,Действующий,28
"Проектирование функциональных групп помещений для досуговой и физкультурно-оздоровительной деятельности маломобильных групп населения, включая социально-оздоровительные центры, отделения временного и дневного пребывания, специальные жилые дома, пансионаты, дома-интернаты, учреждения для пожилых, специализированные дома-интернаты, объекты временного пребывания лиц без определенного места жительства",Архитектура,2015-12-30,2025-08-26T03:44:11.675891+00:00,Настоящий свод правил устанавливает требования к проектированию помещений для досуговой и физкультурно-оздоровительной деятельности маломобильных групп населения с учетом соответствующих федеральных законов и международных конвенций. Документ разработан для обеспечения доступности и безопасности таких помещений в жилой застройке и специализированных социальных учреждениях.,Свод правил,СП 143.13330.2012 Помещения для досуговой.pdf,Свод правил Помещения для досуговой и физкультурно-оздоровительной деятельности маломобильных групп населения. Правила проектирования,"['проектирование помещений', 'требования доступности', 'социальное обслуживание', 'строительное законодательство', 'безопасность зданий']","['маломобильные группы населения', 'проектирование помещений', 'досуговая деятельность', 'физкультурно-оздоровительная деятельность', 'социальные учреждения', 'доступность', 'безопасность']",Русский,318,143.13330.2012,5,88.3,0.0,Изменения N 1,СП 143.13330.2012 Помещения для досуговой.pdf,Действующий,32
